SMT Query ID ,VC Name
           0 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:73:7: + (precond. (call insertStrictlySorted[B](thiss.toList,...))"
           1 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5: + (body assertion: Inlined precondition of lemmaContainsTupThenGetReturnValue)
           2 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5: + (precond. (call lemmaContainsTupThenGetReturnValue[B]...))
           3 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5: + (class invariant)
           4 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5: + (postcondition)
           5 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:90:5: ++ (non-negative measure)
           6 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:92:36: ++ (measure decreases)
           7 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:95:7: - (postcondition)
           8 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:5: - (class invariant)
           9 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:17: - (precond. (call removeStrictlySorted[B](thiss.toList,...))"
          10 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:101:5: -- (non-negative measure)
          11 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:103:31: -- (measure decreases)
          12 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12: addApplyDifferent (body assertion)
          13 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12: addApplyDifferent (precond. (call containsKey[B](lm.toList, a0)))"
          14 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:874:5: addApplyDifferent (body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues)
          15 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:874:5: addApplyDifferent (precond. (call lemmaInsertStrictlySortedDoesNotModif...))
          16 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:880:5: addApplyDifferent (body assertion: Inlined precondition of lemmaContainsKeyImpliesGetValueByKeyDefined)
          17 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:880:5: addApplyDifferent (postcondition)
          18 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:880:5: addApplyDifferent (precond. (call lemmaContainsKeyImpliesGetValueByKeyD...))
          19 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:882:19: addApplyDifferent (precond. (call apply[B](+[B](lm, (a, b)), a0)))"
          20 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:882:42: addApplyDifferent (precond. (call apply[B](lm, a0)))"
          21 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:781:5: addCommutativeForDiffKeys (body assertion: Inlined precondition (2/2) of lemmaInsertStrictlySortedCommutative)
          22 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:781:5: addCommutativeForDiffKeys (postcondition)
          23 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:781:5: addCommutativeForDiffKeys (precond. (call lemmaInsertStrictlySortedCommutative[... (require 1/2)))
          24 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:781:5: addCommutativeForDiffKeys (precond. (call lemmaInsertStrictlySortedCommutative[... (require 2/2)))
          25 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:986:5: addNotContainedContent (body assertion: Inlined precondition (1/2) of lemmaInsertStrictlySortedNotContainedContent)
          26 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:986:5: addNotContainedContent (body assertion: Inlined precondition (2/2) of lemmaInsertStrictlySortedNotContainedContent)
          27 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:986:5: addNotContainedContent (postcondition)
          28 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:986:5: addNotContainedContent (precond. (call lemmaInsertStrictlySortedNotContained... (require 1/2)))
          29 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:986:5: addNotContainedContent (precond. (call lemmaInsertStrictlySortedNotContained... (require 2/2)))
          30 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:746:5: addRemoveCommutativeForDiffKeys (body assertion: Inlined precondition (2/2) of lemmaInsertAndRemoveStrictlySortedCommutative)
          31 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:746:5: addRemoveCommutativeForDiffKeys (postcondition)
          32 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:746:5: addRemoveCommutativeForDiffKeys (precond. (call lemmaInsertAndRemoveStrictlySortedCom... (require 1/2)))
          33 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:746:5: addRemoveCommutativeForDiffKeys (precond. (call lemmaInsertAndRemoveStrictlySortedCom... (require 2/2)))
          34 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:734:5: addSameAsAddTwiceSameKeyDiffValues (body assertion: Inlined precondition of lemmaInsertStrictlySortedErasesIfSameKey)
          35 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:734:5: addSameAsAddTwiceSameKeyDiffValues (postcondition)
